"PointID","x","y","z"
44, 3.899999943328351e+01, 9.549140018434633e-02, -5.178658985293575e-02
45, 3.899999943328349e+01, 4.625831956042482e-02, -5.183800864974041e-02
46, 3.899999943328350e+01, 0.000000000000000e+00, -5.185139993923690e-02
47, 3.899999943328350e+01, 0.000000000000000e+00, 4.584253574667154e-03
48, 3.899999943328350e+01, 0.000000000000000e+00, 6.514860006076310e-02
49, 3.899999943328353e+01, 5.941916161535771e-02, 6.517145955724574e-02
50, 3.899999943328349e+01, 1.254960016314385e-01, 6.527174005864135e-02
51, 3.899999943328351e+01, 1.997074326354565e-01, 6.558194531734839e-02
52, 3.899999943328348e+01, 2.827524220730143e-01, 6.644553182784790e-02
53, 3.899999943328348e+01, 3.766190508999394e-01, 6.836764565319438e-02
54, 3.899999943328351e+01, 4.808684089105968e-01, 7.227563804283162e-02
55, 3.899999943328351e+01, 5.905937226380653e-01, 7.923631947346289e-02
56, 3.899999943328354e+01, 7.019346912583423e-01, 9.041383476115762e-02
57, 3.899999943328348e+01, 8.133453807859561e-01, 1.071335745118280e-01
58, 3.899999943328352e+01, 9.239647974688198e-01, 1.306866200394715e-01
59, 3.899999943328348e+01, 1.032880996602489e+00, 1.624180355559641e-01
60, 3.899999943328351e+01, 1.139096036420246e+00, 2.030676097724900e-01
61, 3.899999943328351e+01, 1.241568093638286e+00, 2.529008032534843e-01
62, 3.899999943328347e+01, 1.339495787374247e+00, 3.113615411656435e-01
63, 3.899999943328347e+01, 1.432342203496433e+00, 3.774001498978585e-01
64, 3.899999943328351e+01, 1.519978103544687e+00, 4.495940627591605e-01
65, 3.899999943328350e+01, 1.602616444785939e+00, 5.265859573986571e-01
66, 3.899999943328351e+01, 1.680732499553453e+00, 6.071925960267338e-01
67, 3.899999943328348e+01, 1.754668081157234e+00, 6.902325365318162e-01
68, 3.899999943328350e+01, 1.824196504325940e+00, 7.739332025326715e-01
69, 3.899999943328348e+01, 1.887829899140338e+00, 8.548830109882561e-01
70, 3.899999943328350e+01, 1.944035892970271e+00, 9.294495151003138e-01
71, 3.899999943328351e+01, 1.991423850696402e+00, 9.941978266841127e-01
72, 3.899999943328350e+01, 2.031009180305466e+00, 1.049364514344356e+00
73, 3.899999943328351e+01, 2.064460995660863e+00, 1.096540146879391e+00
74, 3.899999943328351e+01, 2.092668566192668e+00, 1.136460397337157e+00
75, 3.899999943328348e+01, 2.116558048965783e+00, 1.170303475250006e+00
76, 3.899999943328351e+01, 2.136912771188160e+00, 1.199022852735504e+00
77, 3.899999943328351e+01, 2.154353752686506e+00, 1.223476672889914e+00
78, 3.899999943328351e+01, 2.169432313825964e+00, 1.244429904655295e+00
79, 3.899999943328352e+01, 2.182639639707011e+00, 1.262528100550623e+00
80, 3.899999943328349e+01, 2.194539016419223e+00, 1.278558728053003e+00
81, 3.899999943328349e+01, 2.205277306255018e+00, 1.292749090478726e+00
82, 3.899999943328349e+01, 2.215005958285982e+00, 1.305318764086408e+00
83, 3.899999943328353e+01, 2.223877384160083e+00, 1.316475271115292e+00
84, 3.899999943328351e+01, 2.232006480712212e+00, 1.326362436549293e+00
85, 3.899999943328353e+01, 2.239453429237232e+00, 1.335063766908227e+00
86, 3.899999943328352e+01, 2.246295061976058e+00, 1.342691412944760e+00
87, 3.899999943328350e+01, 2.252606064786172e+00, 1.349343532166450e+00
88, 3.899999943328350e+01, 2.258455918461732e+00, 1.355097785042798e+00
89, 3.899999943328349e+01, 2.263909472296408e+00, 1.360007168716605e+00
90, 3.899999943328348e+01, 2.269031850454382e+00, 1.364097614498218e+00
91, 3.899999943328352e+01, 2.273884023956051e+00, 1.367382618023887e+00
92, 3.899999943328351e+01, 2.278503482737485e+00, 1.369840845922543e+00
93, 3.899999943328348e+01, 2.283048527559062e+00, 1.371435843831420e+00
